offset_hex	va	encoding	value
0x7961	0x180008561	ascii	A'H;
0x79D7	0x1800085D7	ascii	u#L;
0x7A58	0x180008658	ascii	l$0H
0x7A61	0x180008661	ascii	|$(L
0x7A66	0x180008666	ascii	t$ H
0x7A6C	0x18000866C	ascii	8A_A\^[
0x7A80	0x180008680	ascii	@SUVATAVH
0x7ACD	0x1800086CD	ascii	|$(H
0x7ADA	0x1800086DA	ascii	|$ L
0x7B30	0x180008730	ascii	A'H;
0x7B70	0x180008770	ascii	DzH+
0x7BA8	0x1800087A8	ascii	u*M;
0x7C46	0x180008846	ascii	|$ H
0x7C4F	0x18000884F	ascii	|$(H
0x7C55	0x180008855	ascii	0A^A\^][
0x7C70	0x180008870	ascii	@SVATAVH
0x7CBC	0x1800088BC	ascii	l$0H
0x7CCC	0x1800088CC	ascii	|$(L
0x7CD4	0x1800088D4	ascii	|$ I
0x7D1C	0x18000891C	ascii	A'H;
0x7D95	0x180008995	ascii	u*I;
0x7E26	0x180008A26	ascii	l$0H
0x7E2F	0x180008A2F	ascii	|$(L
0x7E34	0x180008A34	ascii	|$ H
0x7E3A	0x180008A3A	ascii	8A^A\^[
0x7E50	0x180008A50	ascii	@SUVATAVH
0x7E9D	0x180008A9D	ascii	|$pH
0x7EAA	0x180008AAA	ascii	|$ L
0x7F00	0x180008B00	ascii	A'H;
0x7F37	0x180008B37	ascii	l$(I
0x8039	0x180008C39	ascii	|$pI
0x8041	0x180008C41	ascii	l$(L
0x8046	0x180008C46	ascii	|$ H
0x804C	0x180008C4C	ascii	0A^A\^][
0x8070	0x180008C70	ascii	@SUVWAWH
0x80B1	0x180008CB1	ascii	 A__^][
0x80D1	0x180008CD1	ascii	t$hH
0x8114	0x180008D14	ascii	H'H;
0x81B0	0x180008DB0	ascii	t$hH
0x81B6	0x180008DB6	ascii	 A__^][
0x81F5	0x180008DF5	ascii	\$@H
0x8226	0x180008E26	ascii	\$@H
0x822B	0x180008E2B	ascii	t$HH
0x8239	0x180008E39	ascii	t$ H
0x8249	0x180008E49	ascii	t$HH
0x8280	0x180008E80	ascii	@SWAVH
0x82B8	0x180008EB8	ascii	t$PH;
0x82E0	0x180008EE0	ascii	N'H;
0x837E	0x180008F7E	ascii	t$PH
0x8384	0x180008F84	ascii	 A^_[
0x83AC	0x180008FAC	ascii	 A^_[
0x83C7	0x180008FC7	ascii	t$ ATAVAWH
0x83EA	0x180008FEA	ascii	|$HH
0x841B	0x18000901B	ascii	|$HH+
0x8469	0x180009069	ascii	\$PK
0x8489	0x180009089	ascii	t$XH
0x848F	0x18000908F	ascii	 A_A^A\
0x84A7	0x1800090A7	ascii	l$ WAVAWH
0x84CD	0x1800090CD	ascii	t$HH
0x8514	0x180009114	ascii	t$HH+
0x855D	0x18000915D	ascii	\$PH
0x857D	0x18000917D	ascii	l$XH
0x8587	0x180009187	ascii	 A_A^_
0x8597	0x180009197	ascii	l$ VAVAWH
0x85B9	0x1800091B9	ascii	|$HH
0x85ED	0x1800091ED	ascii	|$HH+
0x8636	0x180009236	ascii	\$PH
0x8656	0x180009256	ascii	l$XH
0x8660	0x180009260	ascii	 A_A^^
0x8670	0x180009270	ascii	@SUVWH
0x86FE	0x1800092FE	ascii	(_^][
0x8860	0x180009460	ascii	@SVATAUH
0x8890	0x180009490	ascii	l$pI
0x8899	0x180009499	ascii	|$0L
0x889E	0x18000949E	ascii	t$(L
0x88AE	0x1800094AE	ascii	|$ H;
0x88EC	0x1800094EC	ascii	H'H;
0x89C5	0x1800095C5	ascii	t$(H
0x89CA	0x1800095CA	ascii	|$0H
0x89CF	0x1800095CF	ascii	l$pL
0x89D4	0x1800095D4	ascii	|$ H
0x89DA	0x1800095DA	ascii	8A]A\^[
0x8A1A	0x18000961A	ascii	\$0H
0x8A30	0x180009630	ascii	@VWH
0x8A6B	0x18000966B	ascii	\$PH
0x8AB4	0x1800096B4	ascii	l$XH
0x8B00	0x180009700	ascii	L#^0I
0x8B68	0x180009768	ascii	tKL;
0x8BA1	0x1800097A1	ascii	l$XH
0x8BA6	0x1800097A6	ascii	\$PL
