offset_hex	va	kind	value
0x10A22	0x180011622	member-candidate	L$0f
0x10A28	0x180011628	member-candidate	D$0L
0x10A55	0x180011655	member-candidate	UVWATAUAVAWH
0x10AFE	0x1800116FE	member-candidate	T$0L
0x10C96	0x180011896	member-candidate	D$pH
0x10D66	0x180011966	member-candidate	D$Td
0x10D77	0x180011977	member-candidate	L$PH
0x10D8B	0x18001198B	member-candidate	D$TA
0x10ECE	0x180011ACE	member-candidate	t$HM
0x11389	0x180011F89	member-candidate	t$HM
0x1162E	0x18001222E	member-candidate	T$0L
0x11BD5	0x1800127D5	member-candidate	VWAVH
0x1214C	0x180012D4C	member-candidate	UUUUUUU
0x12185	0x180012D85	member-candidate	D$0I
0x12365	0x180012F65	member-candidate	UVWATAUAVAWH
0x12555	0x180013155	member-candidate	UVWATAUAVAWH
0x12673	0x180013273	member-candidate	UAWI
0x12733	0x180013333	member-candidate	D$hH
0x12765	0x180013365	member-candidate	d$pL
0x12894	0x180013494	member-candidate	tlff
0x1295D	0x18001355D	member-candidate	t$0L
0x12B45	0x180013745	member-candidate	L$0H
0x12B5F	0x18001375F	signature	L$0H;
0x12C01	0x180013801	member-candidate	t$XL
0x12D2A	0x18001392A	member-candidate	t$XH
0x1304C	0x180013C4C	member-candidate	D3dB
0x13051	0x180013C51	member-candidate	D7dB
0x13056	0x180013C56	member-candidate	D3hB
0x1305B	0x180013C5B	member-candidate	D7hB
0x13060	0x180013C60	member-candidate	D3lB
0x13065	0x180013C65	member-candidate	D7lB
0x1306A	0x180013C6A	member-candidate	D3pB
0x1306F	0x180013C6F	member-candidate	D7pB
0x13074	0x180013C74	member-candidate	D3tB
0x13079	0x180013C79	member-candidate	D7tB
0x1307E	0x180013C7E	member-candidate	D3xB
0x13083	0x180013C83	member-candidate	D7xA
0x1324B	0x180013E4B	member-candidate	l$8H
0x13250	0x180013E50	member-candidate	t$0L
0x133D4	0x180013FD4	member-candidate	t$0H
0x13435	0x180014035	member-candidate	UVWATAUAVAWH
0x13503	0x180014103	member-candidate	vLfff
0x136FA	0x1800142FA	member-candidate	d$pH
0x13716	0x180014316	member-candidate	t$hL
0x137A4	0x1800143A4	member-candidate	D$xI
0x1382C	0x18001442C	member-candidate	t$hH
0x138C4	0x1800144C4	member-candidate	t$PL
0x1390A	0x18001450A	member-candidate	t$8H
0x13AC6	0x1800146C6	member-candidate	t$8H
0x13AD0	0x1800146D0	member-candidate	t$PH
0x13B15	0x180014715	member-candidate	UVWAVAWH
0x14152	0x180014D52	member-candidate	l$0H
0x14178	0x180014D78	member-candidate	D$8H
0x142D6	0x180014ED6	member-candidate	D$XH
0x142DB	0x180014EDB	member-candidate	L$HH
0x143A2	0x180014FA2	member-candidate	T$8H
0x143C3	0x180014FC3	member-candidate	l$0L
0x143C8	0x180014FC8	member-candidate	t$8H
0x14520	0x180015120	member-candidate	t$hL
0x14525	0x180015125	member-candidate	L$0f
0x1452B	0x18001512B	member-candidate	D$0L
0x14612	0x180015212	member-candidate	D$xH
0x1461C	0x18001521C	member-candidate	D$0L
0x14621	0x180015221	member-candidate	L$0H
0x14633	0x180015233	member-candidate	D$8L
0x146DB	0x1800152DB	member-candidate	D$xH
0x146E0	0x1800152E0	member-candidate	l$xH
0x146E5	0x1800152E5	member-candidate	D$0L
0x146EA	0x1800152EA	member-candidate	L$0H
0x146FC	0x1800152FC	member-candidate	D$8L
